,batting_team,bowling_team,city,current_score,balls_left,wicket_left,crr,last_five,runs_x
12117,Mumbai Indians,Delhi Capitals,Delhi,167,0,5,8.28099173553719,62.0,168
41946,Kings XI Punjab,Kolkata Knight Riders,Kolkata,135,5,4,7.043478260869565,32.0,149
36927,Kings XI Punjab,Kolkata Knight Riders,Kolkata,41,73,8,5.23404255319149,24.0,134
29764,Mumbai Indians,Royal Challengers Bangalore,Mumbai,45,84,8,7.5,39.0,151
35689,Kolkata Knight Riders,Mumbai Indians,Mumbai,45,63,6,4.7368421052631575,28.0,147
38856,Rajasthan Royals,Chennai Super Kings,Jaipur,121,2,4,6.1525423728813555,36.0,126
43577,Chennai Super Kings,Sunrisers Hyderabad,Hyderabad,223,0,7,10.967213114754099,77.0,223
32690,Mumbai Indians,Royal Challengers Bangalore,Mumbai,104,34,6,7.255813953488372,27.0,184
21376,Sunrisers Hyderabad,Kings XI Punjab,Dubai,52,92,10,11.142857142857142,52.0,201
20755,Kings XI Punjab,Rajasthan Royals,Abu Dhabi,39,90,9,7.8,39.0,185
33034,Royal Challengers Bangalore,Mumbai Indians,Bangalore,51,59,8,5.016393442622951,30.0,140
44438,Royal Challengers Bangalore,Kings XI Punjab,Chandigarh,185,2,7,9.40677966101695,53.0,190
22043,Royal Challengers Bangalore,Mumbai Indians,Dubai,89,52,9,7.852941176470588,25.0,201
28780,Rajasthan Royals,Kolkata Knight Riders,Durban,53,71,6,6.489795918367347,25.0,101
20159,Sunrisers Hyderabad,Delhi Capitals,Abu Dhabi,62,70,10,7.44,44.0,162
7638,Sunrisers Hyderabad,Chennai Super Kings,Mumbai,89,28,4,5.804347826086956,23.0,139
53886,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,86,49,8,7.267605633802817,26.0,167
10465,Royal Challengers Bangalore,Delhi Capitals,Bengaluru,82,43,7,6.3896103896103895,36.0,149
26865,Mumbai Indians,Kolkata Knight Riders,Port Elizabeth,168,13,5,9.42056074766355,37.0,187
373,Royal Challengers Bangalore,Kings XI Punjab,Indore,136,2,6,6.915254237288136,65.0,148
